July 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
87.5S,2.5E,-0.01
87.5S,7.5E,-0.80
87.5S,12.5E,-0.82
87.5S,17.5E,-0.82
87.5S,22.5E,-0.85
87.5S,27.5E,-0.90
87.5S,32.5E,-0.93
87.5S,37.5E,-0.97
87.5S,42.5E,-1.02
87.5S,47.5E,-1.06
87.5S,52.5E,-1.13
87.5S,57.5E,-1.23
87.5S,62.5E,-1.31
87.5S,67.5E,-1.38
87.5S,72.5E,-1.45
87.5S,77.5E,-1.48
87.5S,82.5E,-1.50
87.5S,87.5E,-1.54
87.5S,92.5E,-1.56
87.5S,97.5E,-1.65
87.5S,102.5E,-1.75
87.5S,107.5E,-1.80
87.5S,112.5E,-1.85
87.5S,117.5E,-1.88
87.5S,122.5E,-1.88
87.5S,127.5E,-1.86
87.5S,132.5E,-1.83
87.5S,137.5E,-1.78
87.5S,142.5E,-1.71
87.5S,147.5E,-1.61
87.5S,152.5E,-1.48
87.5S,157.5E,-1.37
87.5S,162.5E,-1.33
87.5S,167.5E,-1.29
87.5S,172.5E,-1.28
87.5S,177.5E,-1.27
87.5S,177.5W,-1.25
87.5S,172.5W,-1.24
87.5S,167.5W,-1.25
87.5S,162.5W,-1.31
87.5S,157.5W,-1.35
87.5S,152.5W,-1.35
87.5S,147.5W,-1.35
87.5S,142.5W,-1.37
87.5S,137.5W,-1.41
87.5S,132.5W,-1.40
87.5S,127.5W,-1.36
87.5S,122.5W,-1.33
87.5S,117.5W,-1.25
87.5S,112.5W,-1.18
87.5S,107.5W,-1.16
87.5S,102.5W,-1.15
87.5S,97.5W,-1.13
87.5S,92.5W,-1.12
87.5S,87.5W,-1.11
87.5S,82.5W,-1.07
87.5S,77.5W,-1.03
87.5S,72.5W,-0.99
87.5S,67.5W,-0.97
87.5S,62.5W,-0.95
87.5S,57.5W,-0.92
87.5S,52.5W,-0.90
87.5S,47.5W,-0.88
87.5S,42.5W,-0.83
87.5S,37.5W,-0.78
87.5S,32.5W,-0.73
87.5S,27.5W,-0.67
87.5S,22.5W,-0.62
87.5S,17.5W,-0.59
87.5S,12.5W,-0.54
87.5S,7.5W,-0.52
87.5S,2.5W,-0.05
82.5S,2.5E,-0.80
82.5S,7.5E,0.98
82.5S,12.5E,1.11
82.5S,17.5E,0.93
82.5S,22.5E,0.69
82.5S,27.5E,0.47
82.5S,32.5E,0.12
82.5S,37.5E,-0.13
82.5S,42.5E,-0.32
82.5S,47.5E,-0.62
82.5S,52.5E,-0.87
82.5S,57.5E,-1.15
82.5S,62.5E,-1.41
82.5S,67.5E,-1.56
82.5S,72.5E,-1.71
82.5S,77.5E,-1.66
82.5S,82.5E,-1.60
82.5S,87.5E,-1.66
82.5S,92.5E,-1.68
82.5S,97.5E,-1.71
82.5S,102.5E,-1.73
82.5S,107.5E,-1.69
82.5S,112.5E,-1.66
82.5S,117.5E,-1.61
82.5S,122.5E,-1.57
82.5S,127.5E,-1.54
82.5S,132.5E,-1.47
82.5S,137.5E,-1.44
82.5S,142.5E,-1.36
82.5S,147.5E,-1.24
82.5S,152.5E,-1.20
82.5S,157.5E,-1.17
82.5S,162.5E,-1.19
82.5S,167.5E,-1.05
82.5S,172.5E,-2.42
82.5S,177.5E,-1.56
82.5S,177.5W,-1.80
82.5S,172.5W,-1.49
82.5S,167.5W,-2.58
82.5S,162.5W,-3.29
82.5S,157.5W,-3.30
82.5S,152.5W,-3.08
82.5S,147.5W,-2.69
82.5S,142.5W,-2.48
82.5S,137.5W,-2.29
82.5S,132.5W,-2.05
82.5S,127.5W,-1.69
82.5S,122.5W,-1.19
82.5S,117.5W,-0.73
82.5S,112.5W,-0.31
82.5S,107.5W,-0.09
82.5S,102.5W,0.06
82.5S,97.5W,0.03
82.5S,92.5W,-0.25
82.5S,87.5W,-0.56
82.5S,82.5W,-0.70
82.5S,77.5W,-0.73
82.5S,72.5W,-0.66
82.5S,67.5W,-0.61
82.5S,62.5W,-0.53
82.5S,57.5W,-0.10
82.5S,52.5W,0.03
82.5S,47.5W,-0.22
82.5S,42.5W,-0.24
82.5S,37.5W,-0.17
82.5S,32.5W,-0.22
82.5S,27.5W,-0.16
82.5S,22.5W,-0.14
82.5S,17.5W,-0.04
82.5S,12.5W,0.02
82.5S,7.5W,0.15
82.5S,2.5W,0.28
77.5S,2.5E,0.87
77.5S,7.5E,1.41
77.5S,12.5E,1.32
77.5S,17.5E,0.98
77.5S,22.5E,0.43
77.5S,27.5E,-0.18
77.5S,32.5E,-0.64
77.5S,37.5E,-1.10
77.5S,42.5E,-1.34
77.5S,47.5E,-1.35
77.5S,52.5E,-1.59
77.5S,57.5E,-1.75
77.5S,62.5E,-1.91
77.5S,67.5E,-1.96
77.5S,72.5E,-1.91
77.5S,77.5E,-1.87
77.5S,82.5E,-1.78
77.5S,87.5E,-1.59
77.5S,92.5E,-1.42
77.5S,97.5E,-1.32
77.5S,102.5E,-1.44
