"Data, x","Data, y","Trace 1, x","Trace 1, y","Fit, x","Fit, y"
"1880","-0.19","1880","-0.127780357499175","1880","-0.195725470021537"
"1881","-0.1","1881.69620253165","-0.143120482818261","1881.69620253165","-0.20557507682757"
"1882","-0.09","1883.39240506329","-0.157420712044174","1883.39240506329","-0.214761638560046"
"1883","-0.19","1885.08860759494","-0.170620549127522","1885.08860759494","-0.22324906856371"
"1884","-0.27","1886.78481012658","-0.182658558617357","1886.78481012658","-0.2310012801833"
"1885","-0.31","1888.48101265823","-0.193473712267741","1888.48101265823","-0.237982186763558"
"1886","-0.3","1890.17721518987","-0.20300765123075","1890.17721518987","-0.244155701649224"
"1887","-0.33","1891.87341772152","-0.211207995989075","1891.87341772152","-0.249485738185041"
"1888","-0.2","1893.56962025316","-0.218032500364321","1893.56962025316","-0.253936209715748"
"1889","-0.11","1895.26582278481","-0.223453284870796","1895.26582278481","-0.257471029586086"
"1890","-0.36","1896.96202531646","-0.227443286394045","1896.96202531646","-0.260036952235726"
"1891","-0.23","1898.6582278481","-0.229980873712848","1898.6582278481","-0.261567292692982"
"1892","-0.26","1900.35443037975","-0.231187790028024","1900.35443037975","-0.262131783285388"
"1893","-0.29","1902.05063291139","-0.231203523394773","1902.05063291139","-0.261813882595141"
"1894","-0.3","1903.74683544304","-0.230168594302821","1903.74683544304","-0.260697049204438"
"1895","-0.21","1905.44303797468","-0.228221464532174","1905.44303797468","-0.258864741695476"
"1896","-0.14","1907.13924050633","-0.225496236173899","1907.13924050633","-0.256400418650452"
"1897","-0.11","1908.83544303797","-0.222121329910397","1908.83544303797","-0.253387538651562"
"1898","-0.28","1910.53164556962","-0.218219014518403","1910.53164556962","-0.249909560281004"
"1899","-0.16","1912.22784810127","-0.213905506571163","1912.22784810127","-0.246049942120973"
"1900","-0.08","1913.92405063291","-0.209049818261117","1913.92405063291","-0.241626830290203"
"1901","-0.13","1915.62025316456","-0.202602323417545","1915.62025316456","-0.2354756570955"
"1902","-0.26","1917.3164556962","-0.194631846154211","1917.3164556962","-0.227711495606118"
"1903","-0.35","1919.01265822785","-0.185368910659707","1919.01265822785","-0.218642432847351"
"1904","-0.44","1920.70886075949","-0.175056328674379","1920.70886075949","-0.208576555844492"
"1905","-0.27","1922.40506329114","-0.163967455541141","1922.40506329114","-0.197821951622838"
"1906","-0.21","1924.10126582278","-0.152416297358525","1924.10126582278","-0.186686707207679"
"1907","-0.39","1925.79746835443","-0.14075858676282","1925.79746835443","-0.175478909624313"
"1908","-0.42","1927.49367088608","-0.129384629625423","1927.49367088608","-0.164506645898032"
"1909","-0.47","1929.18987341772","-0.118706284488694","1929.18987341772","-0.154078003054131"
"1910","-0.42","1930.88607594937","-0.108909167260593","1930.88607594937","-0.144247547107682"
"1911","-0.44","1932.58227848101","-0.098963441178797","1932.58227848101","-0.133881550064678"
"1912","-0.35","1934.27848101266","-0.0886458445761449","1934.27848101266","-0.122953627587936"
"1913","-0.33","1935.9746835443","-0.0779062654377683","1935.9746835443","-0.111644474918702"
"1914","-0.15","1937.67088607595","-0.0667339456642403","1937.67088607595","-0.100134787298227"
"1915","-0.1","1939.36708860759","-0.055200385945363","1939.36708860759","-0.0886052599677553"
"1916","-0.33","1941.06329113924","-0.0434875764459018","1941.06329113924","-0.0772365881685396"
"1917","-0.39","1942.75949367089","-0.0318876440406516","1942.75949367089","-0.0662094671418247"
"1918","-0.24","1944.45569620253","-0.0207741105865702","1944.45569620253","-0.0557045921288603"
"1919","-0.21","1946.15189873418","-0.0105588464777151","1946.15189873418","-0.0459026583708962"
"1920","-0.25","1947.84810126582","-0.00192162971440629","1947.84810126582","-0.0372654416075874"
"1921","-0.19","1949.54430379747","0.00361423009415356","1949.54430379747","-0.0313162514481366"
"1922","-0.26","1951.24050632911","0.00668373483759421","1951.24050632911","-0.0276380882635789"
"1923","-0.22","1952.93670886076","0.008254347420818","1952.93670886076","-0.0254946643018198"
"1924","-0.26","1954.63291139241","0.00925518221162826","1954.63291139241","-0.0241496918107641"
